insertId,logName,protoPayload.authenticationInfo.principalEmail,protoPayload.authorizationInfo.granted,protoPayload.authorizationInfo.permission,protoPayload.authorizationInfo.permissionType,protoPayload.authorizationInfo.resource,protoPayload.authorizationInfo.resourceAttributes.name,protoPayload.authorizationInfo.resourceAttributes.service,protoPayload.authorizationInfo.resourceAttributes.type,protoPayload.methodName,protoPayload.redactions.field,protoPayload.redactions.reason,protoPayload.redactions.type,protoPayload.request.@type,protoPayload.request.policy.bindings,protoPayload.request.policy.etag,protoPayload.request.resource,protoPayload.requestMetadata.callerIp,protoPayload.requestMetadata.callerSuppliedUserAgent,protoPayload.requestMetadata.destinationAttributes,protoPayload.requestMetadata.requestAttributes,protoPayload.resourceLocation.currentLocations,protoPayload.resourceName,protoPayload.serviceData,protoPayload.serviceName,protoPayload.status.code,protoPayload.status.message,receiveLocation,receiveTimestamp,resource.labels.project_id,resource.type,severity,timestamp
-c73s1ce4wfny,projects/cloud-project-423707/logs/cloudaudit.googleapis.com%2Fdata_access,vijaydinni@gmail.com,[true],"[""bigquery.jobs.create""]",[null],"[""projects/cloud-project-423707""]",[null],[null],[null],jobservice.insert,,,,,,,,2401:4900:1cc4:5ebd:d95f:bee:2cc0:9216,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36,gzip(gfe),gzip(gfe)",,,,projects/cloud-project-423707/jobs,[object Object],bigquery.googleapis.com,11,Syntax error: Expected end of input but got keyword SELECT at [9:1],,2024-05-20T04:49:44.574856703Z,cloud-project-423707,bigquery_resource,ERROR,2024-05-20T04:49:43.917732Z
-8ldhoze1udp6,projects/cloud-project-423707/logs/cloudaudit.googleapis.com%2Fdata_access,vijaydinni@gmail.com,[true],"[""bigquery.jobs.create""]",[null],"[""projects/cloud-project-423707""]",[null],[null],[null],jobservice.insert,,,,,,,,2401:4900:1cc4:5ebd:d95f:bee:2cc0:9216,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36,gzip(gfe),gzip(gfe)",,,,projects/cloud-project-423707/jobs,[object Object],bigquery.googleapis.com,11,Syntax error: Expected end of input but got keyword SELECT at [9:1],,2024-05-20T04:49:43.568027996Z,cloud-project-423707,bigquery_resource,ERROR,2024-05-20T04:49:42.988574Z
8lomg8ecv5nw,projects/cloud-project-423707/logs/cloudaudit.googleapis.com%2Fdata_access,vijaydinni@gmail.com,[true],"[""bigquery.jobs.create""]",[null],"[""projects/cloud-project-423707""]",[null],[null],[null],jobservice.insert,,,,,,,,2401:4900:1cc4:5ebd:d95f:bee:2cc0:9216,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36,gzip(gfe),gzip(gfe)",,,,projects/cloud-project-423707/jobs,[object Object],bigquery.googleapis.com,11,Syntax error: Expected end of input but got keyword SELECT at [9:1],,2024-05-20T04:48:35.390357865Z,cloud-project-423707,bigquery_resource,ERROR,2024-05-20T04:48:34.884818Z
ept591e8cbmd,projects/cloud-project-423707/logs/cloudaudit.googleapis.com%2Fdata_access,vijaydinni@gmail.com,[true],"[""bigquery.jobs.create""]",[null],"[""projects/cloud-project-423707""]",[null],[null],[null],jobservice.insert,,,,,,,,2401:4900:1cc4:5ebd:d95f:bee:2cc0:9216,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36,gzip(gfe),gzip(gfe)",,,,projects/cloud-project-423707/jobs,[object Object],bigquery.googleapis.com,11,Syntax error: Expected end of input but got keyword SELECT at [9:1],,2024-05-20T04:48:34.078030207Z,cloud-project-423707,bigquery_resource,ERROR,2024-05-20T04:48:33.923651Z
-u8p72veemugb,projects/cloud-project-423707/logs/cloudaudit.googleapis.com%2Fdata_access,vijaydinni@gmail.com,[true],"[""bigquery.jobs.create""]",[null],"[""projects/cloud-project-423707""]",[null],[null],[null],jobservice.insert,,,,,,,,2401:4900:1cc4:5ebd:d95f:bee:2cc0:9216,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36,gzip(gfe),gzip(gfe)",,,,projects/cloud-project-423707/jobs,[object Object],bigquery.googleapis.com,11,Syntax error: Expected end of input but got keyword SELECT at [9:1],,2024-05-20T04:46:17.136407440Z,cloud-project-423707,bigquery_resource,ERROR,2024-05-20T04:46:16.569292Z
ajofqwd2f08,projects/cloud-project-423707/logs/cloudaudit.googleapis.com%2Fdata_access,vijaydinni@gmail.com,[true],"[""bigquery.jobs.create""]",[null],"[""projects/cloud-project-423707""]",[null],[null],[null],jobservice.insert,,,,,,,,2401:4900:1cc4:5ebd:d95f:bee:2cc0:9216,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36,gzip(gfe),gzip(gfe)",,,,projects/cloud-project-423707/jobs,[object Object],bigquery.googleapis.com,11,Syntax error: Expected end of input but got keyword SELECT at [9:1],,2024-05-20T04:45:09.954796Z,cloud-project-423707,bigquery_resource,ERROR,2024-05-20T04:45:09.734685Z
-h72g62e1xwpl,projects/cloud-project-423707/logs/cloudaudit.googleapis.com%2Fdata_access,vijaydinni@gmail.com,[true],"[""bigquery.jobs.create""]",[null],"[""projects/cloud-project-423707""]",[null],[null],[null],jobservice.insert,,,,,,,,2401:4900:1cc4:5ebd:d95f:bee:2cc0:9216,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36,gzip(gfe),gzip(gfe)",,,,projects/cloud-project-423707/jobs,[object Object],bigquery.googleapis.com,11,Syntax error: Expected end of input but got keyword SELECT at [9:1],,2024-05-20T04:45:09.549293527Z,cloud-project-423707,bigquery_resource,ERROR,2024-05-20T04:45:08.823801Z
9pqlureafikp,projects/cloud-project-423707/logs/cloudaudit.googleapis.com%2Fdata_access,vijaydinni@gmail.com,[true],"[""bigquery.jobs.create""]",[null],"[""projects/cloud-project-423707""]",[null],[null],[null],jobservice.insert,,,,,,,,2401:4900:1cc4:5ebd:d95f:bee:2cc0:9216,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36,gzip(gfe),gzip(gfe)",,,,projects/cloud-project-423707/jobs,[object Object],bigquery.googleapis.com,11,Syntax error: Expected end of input but got keyword SELECT at [9:1],,2024-05-20T04:22:27.742881132Z,cloud-project-423707,bigquery_resource,ERROR,2024-05-20T04:22:27.293332Z
vcs8ole8a9rf,projects/cloud-project-423707/logs/cloudaudit.googleapis.com%2Fdata_access,vijaydinni@gmail.com,[true],"[""bigquery.jobs.create""]",[null],"[""projects/cloud-project-423707""]",[null],[null],[null],jobservice.insert,,,,,,,,2401:4900:1cc4:5ebd:d95f:bee:2cc0:9216,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36,gzip(gfe),gzip(gfe)",,,,projects/cloud-project-423707/jobs,[object Object],bigquery.googleapis.com,11,Syntax error: Expected end of input but got keyword SELECT at [9:1],,2024-05-20T04:20:59.786732687Z,cloud-project-423707,bigquery_resource,ERROR,2024-05-20T04:20:59.735579Z
-wgkmuzeb0ja8,projects/cloud-project-423707/logs/cloudaudit.googleapis.com%2Fdata_access,vijaydinni@gmail.com,[true],"[""bigquery.jobs.create""]",[null],"[""projects/cloud-project-423707""]",[null],[null],[null],jobservice.insert,,,,,,,,2401:4900:1cc4:5ebd:d95f:bee:2cc0:9216,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36,gzip(gfe),gzip(gfe)",,,,projects/cloud-project-423707/jobs,[object Object],bigquery.googleapis.com,11,Syntax error: Expected end of input but got keyword SELECT at [9:1],,2024-05-20T04:20:58.932565059Z,cloud-project-423707,bigquery_resource,ERROR,2024-05-20T04:20:58.800487Z
